"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"14908","KAMDIA","EQ","KDDL LIMITED",0.01,1,"","",0,10,"INE291D01011",2600,906.6,2600,100.92,"","","",0,0,0,2860.25,1906.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KDDL"
"1491","IFCI","EQ","IFCI LIMITED",0.01,1,"","",0,10,"INE039A01010",26.6,9,121.2,2.45,"","","",0,0,0,28.3,18.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IFCI"
"14912","KPRMIL","EQ","KPR MILL LTD",0.01,1,"","",0,1,"INE930H01031",843.65,479.45,843.65,1.91,"","","",0,0,0,953.55,635.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KPRMILL"
"14913","SEPRE1","BE","SEPC LIMITED RE",0.01,1,"","",0,10,"INE964H20014",1.4,0.1,1.4,0.1,"","","",0,0,0,0.15,0.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SEPC-RE"
"14920","TAKSOL","BE","TAKE SOLUTIONS LTD",0.01,1,"","",0,1,"INE142I01023",27.55,12.75,308.25,12.75,"","","",0,0,0,20.85,18.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TAKE"
"14922","PURPRO","EQ","PURAVANKARA LIMITED",0.01,1,"","",0,5,"INE323I01011",152.9,58.2,535,25.55,"","","",0,0,0,175.35,116.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PURVA"
"14927","SRIPIP","EQ","SRIKALAHASTHI PIPES LIMITED",0.01,1,"","",0,10,"INE943C01027",248.5,139.8,448.6,2.6,"","","",0,0,0,240.95,160.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SRIPIPES"
"14929","LORAPP","BE","LORENZINI APPARELS LIMITED",0.01,1,"","",0,10,"INE740X01015",285.25,103.55,285.25,103.55,"","","",0,0,0,287.45,260.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAL"
"14932","ISMT","EQ","ISMT LIMITED",0.01,1,"","",0,5,"INE732F01019",93,45.45,140,1.85,"","","",0,0,0,96.5,64.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ISMTLTD"
"14937","MAHCIE","EQ","CIE AUTOMOTIVE INDIA LIMITED",0.01,1,"","",0,10,"INE536H01010",579.75,282,579.75,34.65,"","","",0,0,0,578,385.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CIEINDIA"
"14938","MIRNIF","EQ","MIRAE ASSET NIFTY 8-13 YR ETF",0.01,1,"","",0,10,"INF769K01KF8",29,19.33,29,19.33,"","","",0,0,0,29.58,19.72,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GSEC10YEAR"
"1494","BURKIN","EQ","RESTAURANT BRANDS ASIA LIMITED",0.01,1,"","",0,10,"INE07T201019",137.7,84.5,213.8,84.5,"","","",0,0,0,135.7,90.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RBA"
"14942","NAGCAP","EQ","NAGREEKA CAPITAL & INFRASTRUCT",0.01,1,"","",0,5,"INE245I01016",28.1,12.25,185.5,3.65,"","","",0,0,0,21.55,19.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NAGREEKCAP"
"14947","MOTOSW","EQ","MOTILAL OSWAL FINANCIAL SERVIC",0.01,1,"","",0,1,"INE338I01027",1094,551.25,1588.4,43.6,"","","",0,0,0,1212.05,808.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MOTILALOFS"
"14956","INDWIN","BE","INDOWIND ENERGY LTD",0.01,1,"","",0,10,"INE227G01018",19,8.65,203.55,1.64,"","","",0,0,0,16.1,15.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDOWIND"
"14961","MAGVEN","BE","MAGNUM VENTURES LIMITED",0.01,1,"","",0,10,"INE387I01016",56.7,16,66.9,1.8,"","","",0,0,0,52.75,47.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAGNUM"
"14965","XLENE","BZ","XL ENERGY LIMITED",0.01,1,"","",0,10,"INE183H01011",1.15,0.35,594,0.25,"","","",0,0,0,0.3,0.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","XLENERGY"
"14966","CSBBAN","EQ","CSB BANK LIMITED",0.01,1,"","",0,10,"INE679A01013",373.6,214.95,374,95.6,"","","",0,0,0,398,265.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CSBBANK"
"14967","ECEIND","EQ","ECE INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE588B01014",445,178.15,504.95,60.15,"","","",0,0,0,243.45,220.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ECEIND"
"1497","SHIMIL","EQ","SHIVA MILLS LIMITED",0.01,1,"","",0,10,"INE644Y01017",134,60.65,204.8,17,"","","",0,0,0,83.45,68.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHIVAMILLS"
"14972","KAVSEE","EQ","KAVERI SEED COMPANY LTD",0.01,1,"","",0,2,"INE455I01029",692,466.5,1075.5,23.2,"","","",0,0,0,745.65,497.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KSCL"
"14974","PNBRE1","BE","PNB HOUSING FIN LTD RE",0.01,1,"","",0,10,"INE572E20012",154.8,122,154.8,122,"","","",0,0,0,207.05,88.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PNB-RE"
"14977","POWGRI","EQ","POWER GRID CORPORATION OF INDI",0.01,1,"","",0,10,"INE752E01010",209,153.19,209,29.25,"","","",0,0,0,224.8,184,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","POWERGRID"
"14985","CENELE","BE","CENTUM ELECTRONICS LIMITED",0.01,1,"","",0,10,"INE320B01020",1948.65,496.85,1948.65,16.45,"","","",0,0,0,1453.85,1315.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTUM"
"14987","KOURET","EQ","KOUTONS RETAIL INDIA LIMITED",0.01,1,"","",0,10,"INE406I01014",10.85,2.35,1085,2.35,"","","",0,0,0,2.9,2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOUTONS"
"14992","CONSCO","EQ","CONSOLIDATED CONSTRUCTION CONS",0.01,1,"","",0,2,"INE429I01024",2.4,1.15,244,0.15,"","","",0,0,0,1.55,1.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CCCL"
"14993","SOTPHA","SM","SOTAC PHARMACEUTICALS LIMITED",0.01,1,"","",0,10,"INE0O2D01012",0,0,148.9,107,"","","",0,0,0,139.2,92.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SOTAC"
"1500","INDALU","EQ","INDAL",0.01,1,"","",0,10,"INE249A01015",198,100.35,252,47.75,"","","",0,0,0,196.3,130.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDAL"
"15001","ASCLEA","SM","ASCOM LEASING AND INVEST LTD",0.01,1,"","",0,10,"INE08KD01015",0,0,365,19.1,"","","",0,0,0,212.35,173.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASCOM"
"15007","MANCHE","EQ","MANGALORE CHEMICALS AND FERT",0.01,1,"","",0,10,"INE558B01017",118,72.7,131.85,9.5,"","","",0,0,0,135.3,90.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MANGCHEFER"
"15017","MANALU","EQ","MAAN ALUMINIUM LIMITED",0.01,1,"","",0,5,"INE215I01027",150.05,37,150.05,0.74,"","","",0,0,0,134.95,122.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAANALU"
