,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
2070,SGBSEP31II,GB,6025.1,6044.7,6010.15,6038.65,6044.7,6026.79,2746,16562979.18,24-NOV-2023,206,IN0020230093,
2071,SGIL,BE,267.05,278.1,266.8,272.85,278.1,266.8,8499,2297976.05,24-NOV-2023,144,INE00QT01015,
2072,SGL,BE,15.0,15.0,14.6,15.0,15.0,14.85,2967,44283.9,24-NOV-2023,23,INE353H01010,
2073,SHAH,EQ,3.05,3.1,2.9,2.95,2.9,3.05,2134067,6373648.55,24-NOV-2023,947,INE482J01021,
2074,SHAHALLOYS,BE,54.7,54.7,53.6,54.65,54.65,53.65,10606,571894.55,24-NOV-2023,32,INE640C01011,
2075,SHAILY,EQ,353.0,356.55,343.7,349.65,345.0,359.2,152311,53432449.3,24-NOV-2023,9107,INE151G01028,
2076,SHAKTIPUMP,EQ,1017.85,1025.3,1005.85,1014.3,1023.0,1017.85,40200,40882227.75,24-NOV-2023,4899,INE908D01010,
2077,SHALBY,EQ,309.8,319.0,309.75,317.6,318.2,308.3,587266,185619586.0,24-NOV-2023,13205,INE597J01018,
2078,SHALPAINTS,EQ,170.65,172.0,169.4,170.25,170.15,169.9,64346,10988622.1,24-NOV-2023,2316,INE849C01026,
2079,SHANKARA,EQ,705.15,720.6,705.15,715.3,715.0,705.15,52271,37331862.5,24-NOV-2023,5272,INE274V01019,
2080,SHANTHALA,SM,117.5,118.0,112.35,112.65,112.35,119.25,32400,3703260.0,24-NOV-2023,27,INE0Q9Q01017,
2081,SHANTI,EQ,19.55,19.9,18.85,18.9,18.9,19.55,32504,623428.1,24-NOV-2023,172,INE933X01016,
2082,SHANTIGEAR,EQ,509.75,516.65,492.95,499.1,499.0,504.5,116322,58690067.05,24-NOV-2023,11487,INE631A01022,
2083,SHARDACROP,EQ,411.7,419.25,410.1,415.4,416.0,409.6,337313,139555647.45,24-NOV-2023,8610,INE221J01015,
2084,SHARDAMOTR,EQ,1265.35,1276.45,1242.15,1257.3,1251.0,1265.35,35693,44926940.45,24-NOV-2023,1693,INE597I01028,
2085,SHAREINDIA,EQ,1725.9,1731.0,1705.0,1712.35,1716.9,1712.45,37973,65268503.2,24-NOV-2023,3819,INE932X01018,
2086,SHARIABEES,EQ,452.97,452.97,444.55,446.08,446.23,448.26,1183,528245.09,24-NOV-2023,99,INF732E01128,
